Step,Action,Node,StackState,VisitedSet
0,PushStart,26,[26],[]
1,Visit,26,[],[26]
2,Push,92,[92],[26]
3,Push,36,"[36, 92]",[26]
4,Push,5,"[5, 36, 92]",[26]
5,Push,12,"[12, 5, 36, 92]",[26]
6,Visit,12,"[5, 36, 92]","[26, 12]"
7,Push,77,"[77, 5, 36, 92]","[26, 12]"
8,Push,40,"[40, 77, 5, 36, 92]","[26, 12]"
9,Visit,40,"[77, 5, 36, 92]","[40, 26, 12]"
10,Push,93,"[93, 77, 5, 36, 92]","[40, 26, 12]"
11,Push,74,"[74, 93, 77, 5, 36, 92]","[40, 26, 12]"
12,Push,58,"[58, 74, 93, 77, 5, 36, 92]","[40, 26, 12]"
13,Push,18,"[18, 58, 74, 93, 77, 5, 36, 92]","[40, 26, 12]"
14,Visit,18,"[58, 74, 93, 77, 5, 36, 92]","[18, 40, 26, 12]"
15,Push,76,"[76, 58, 74, 93, 77, 5, 36, 92]","[18, 40, 26, 12]"
16,Push,94,"[94, 76, 58, 74, 93, 77, 5, 36, 92]","[18, 40, 26, 12]"
17,Push,5,"[5, 94, 76, 58, 74, 93, 77, 5, 36, 92]","[18, 40, 26, 12]"
18,Visit,5,"[94, 76, 58, 74, 93, 77, 5, 36, 92]","[18, 5, 40, 26, 12]"
19,Visit,94,"[76, 58, 74, 93, 77, 5, 36, 92]","[18, 5, 40, 26, 12, 94]"
20,Push,30,"[30, 76, 58, 74, 93, 77, 5, 36, 92]","[18, 5, 40, 26, 12, 94]"
21,Visit,30,"[76, 58, 74, 93, 77, 5, 36, 92]","[18, 5, 40, 26, 12, 94, 30]"
22,Push,27,"[27, 76, 58, 74, 93, 77, 5, 36, 92]","[18, 5, 40, 26, 12, 94, 30]"
23,Push,10,"[10, 27, 76, 58, 74, 93, 77, 5, 36, 92]","[18, 5, 40, 26, 12, 94, 30]"
24,Visit,10,"[27, 76, 58, 74, 93, 77, 5, 36, 92]","[18, 5, 40, 26, 10, 12, 94, 30]"
25,Push,97,"[97, 27, 76, 58, 74, 93, 77, 5, 36, 92]","[18, 5, 40, 26, 10, 12, 94, 30]"
26,Visit,97,"[27, 76, 58, 74, 93, 77, 5, 36, 92]","[97, 18, 5, 40, 26, 10, 12, 94, 30]"
27,Visit,27,"[76, 58, 74, 93, 77, 5, 36, 92]","[97, 18, 5, 40, 26, 10, 27, 12, 94, 30]"
28,Visit,76,"[58, 74, 93, 77, 5, 36, 92]","[97, 18, 5, 40, 26, 10, 27, 12, 76, 94, 30]"
29,Push,46,"[46, 58, 74, 93, 77, 5, 36, 92]","[97, 18, 5, 40, 26, 10, 27, 12, 76, 94, 30]"
30,Push,39,"[39, 46, 58, 74, 93, 77, 5, 36, 92]","[97, 18, 5, 40, 26, 10, 27, 12, 76, 94, 30]"
