Step,Action,Node,StackState,VisitedSet
0,PushStart,69,[69],[]
1,Visit,69,[],[69]
2,Push,99,[99],[69]
3,Push,94,"[94, 99]",[69]
4,Push,88,"[88, 94, 99]",[69]
5,Push,86,"[86, 88, 94, 99]",[69]
6,Push,62,"[62, 86, 88, 94, 99]",[69]
7,Push,58,"[58, 62, 86, 88, 94, 99]",[69]
8,Push,49,"[49, 58, 62, 86, 88, 94, 99]",[69]
9,Push,34,"[34, 49, 58, 62, 86, 88, 94, 99]",[69]
10,Push,23,"[23, 34, 49, 58, 62, 86, 88, 94, 99]",[69]
11,Push,4,"[4, 23, 34, 49, 58, 62, 86, 88, 94, 99]",[69]
12,Push,1,"[1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]",[69]
13,Push,57,"[57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]",[69]
14,Push,50,"[50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]",[69]
15,Push,30,"[30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]",[69]
16,Push,9,"[9, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]",[69]
17,Visit,9,"[30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
18,Push,93,"[93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
19,Push,77,"[77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
20,Push,74,"[74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
21,Push,72,"[72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
22,Push,71,"[71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
23,Push,70,"[70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
24,Push,65,"[65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
25,Push,50,"[50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
26,Push,41,"[41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
27,Push,27,"[27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
28,Push,15,"[15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
29,Push,89,"[89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
30,Push,76,"[76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
31,Push,74,"[74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
32,Push,67,"[67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
33,Push,62,"[62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
34,Push,60,"[60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
35,Push,24,"[24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
36,Push,19,"[19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
37,Push,12,"[12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
38,Push,7,"[7, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 9]"
39,Visit,7,"[12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
40,Push,97,"[97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
41,Push,94,"[94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
42,Push,84,"[84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
43,Push,75,"[75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
44,Push,41,"[41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
45,Push,27,"[27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
46,Push,26,"[26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
47,Push,79,"[79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
48,Push,74,"[74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
49,Push,72,"[72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
50,Push,29,"[29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
51,Push,19,"[19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
52,Push,13,"[13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
53,Push,5,"[5, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 7, 9]"
54,Visit,5,"[13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
55,Push,87,"[87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
56,Push,82,"[82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
57,Push,72,"[72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
58,Push,67,"[67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
59,Push,64,"[64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
60,Push,50,"[50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
61,Push,42,"[42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
62,Push,36,"[36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
63,Push,23,"[23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
64,Push,15,"[15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
65,Push,8,"[8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
66,Push,90,"[90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
67,Push,82,"[82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
68,Push,77,"[77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
69,Push,50,"[50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
70,Push,36,"[36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
71,Push,13,"[13, 36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9]"
72,Visit,13,"[36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9, 13]"
73,Push,97,"[97, 36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9, 13]"
74,Push,96,"[96, 97, 36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9, 13]"
75,Push,88,"[88, 96, 97, 36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9, 13]"
76,Push,80,"[80, 88, 96, 97, 36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9, 13]"
77,Push,76,"[76, 80, 88, 96, 97, 36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9, 13]"
78,Push,75,"[75, 76, 80, 88, 96, 97, 36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9, 13]"
79,Push,70,"[70, 75, 76, 80, 88, 96, 97, 36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9, 13]"
80,Push,60,"[60, 70, 75, 76, 80, 88, 96, 97, 36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9, 13]"
81,Push,59,"[59, 60, 70, 75, 76, 80, 88, 96, 97, 36, 50, 77, 82, 90, 8, 15, 23, 36, 42, 50, 64, 67, 72, 82, 87, 13, 19, 29, 72, 74, 79, 26, 27, 41, 75, 84, 94, 97, 12, 19, 24, 60, 62, 67, 74, 76, 89, 15, 27, 41, 50, 65, 70, 71, 72, 74, 77, 93, 30, 50, 57, 1, 4, 23, 34, 49, 58, 62, 86, 88, 94, 99]","[69, 5, 7, 9, 13]"
