Step,Action,Node,StackState,VisitedSet
0,PushStart,25,[25],[]
1,Visit,25,[],[25]
2,Push,71,[71],[25]
3,Push,63,"[63, 71]",[25]
4,Push,57,"[57, 63, 71]",[25]
5,Push,55,"[55, 57, 63, 71]",[25]
6,Push,38,"[38, 55, 57, 63, 71]",[25]
7,Push,35,"[35, 38, 55, 57, 63, 71]",[25]
8,Push,32,"[32, 35, 38, 55, 57, 63, 71]",[25]
9,Push,29,"[29, 32, 35, 38, 55, 57, 63, 71]",[25]
10,Push,93,"[93, 29, 32, 35, 38, 55, 57, 63, 71]",[25]
11,Push,74,"[74, 93, 29, 32, 35, 38, 55, 57, 63, 71]",[25]
12,Push,55,"[55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]",[25]
13,Push,53,"[53, 55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]",[25]
14,Push,48,"[48, 53, 55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]",[25]
15,Push,28,"[28, 48, 53, 55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]",[25]
16,Push,22,"[22, 28, 48, 53, 55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]",[25]
17,Push,20,"[20, 22, 28, 48, 53, 55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]",[25]
18,Push,14,"[14, 20, 22, 28, 48, 53, 55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]",[25]
19,Push,10,"[10, 14, 20, 22, 28, 48, 53, 55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]",[25]
20,Visit,10,"[14, 20, 22, 28, 48, 53, 55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]","[25, 10]"
21,Push,56,"[56, 14, 20, 22, 28, 48, 53, 55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]","[25, 10]"
22,Push,55,"[55, 56, 14, 20, 22, 28, 48, 53, 55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]","[25, 10]"
23,Push,48,"[48, 55, 56, 14, 20, 22, 28, 48, 53, 55, 74, 93, 29, 32, 35, 38, 55, 57, 63, 71]","[25, 10]"
