Step,Action,Node,StackState,VisitedSet
0,PushStart,93,[93],[]
1,Visit,93,[],[93]
2,Push,99,[99],[93]
3,Push,55,"[55, 99]",[93]
4,Visit,55,[99],"[55, 93]"
5,Push,68,"[68, 99]","[55, 93]"
6,Push,25,"[25, 68, 99]","[55, 93]"
7,Visit,25,"[68, 99]","[55, 25, 93]"
8,Push,28,"[28, 68, 99]","[55, 25, 93]"
9,Visit,28,"[68, 99]","[55, 25, 28, 93]"
10,Push,90,"[90, 68, 99]","[55, 25, 28, 93]"
11,Push,46,"[46, 90, 68, 99]","[55, 25, 28, 93]"
12,Push,10,"[10, 46, 90, 68, 99]","[55, 25, 28, 93]"
13,Push,12,"[12, 10, 46, 90, 68, 99]","[55, 25, 28, 93]"
14,Push,6,"[6, 12, 10, 46, 90, 68, 99]","[55, 25, 28, 93]"
15,Visit,6,"[12, 10, 46, 90, 68, 99]","[6, 55, 25, 28, 93]"
16,Push,85,"[85, 12, 10, 46, 90, 68, 99]","[6, 55, 25, 28, 93]"
17,Push,72,"[72, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 25, 28, 93]"
18,Visit,72,"[85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 28, 93]"
19,Push,77,"[77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 28, 93]"
20,Push,58,"[58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 28, 93]"
21,Push,45,"[45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 28, 93]"
22,Push,41,"[41, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 28, 93]"
23,Visit,41,"[45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 41, 28, 93]"
24,Push,96,"[96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 41, 28, 93]"
25,Push,30,"[30, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 41, 28, 93]"
26,Visit,30,"[96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 41, 28, 93, 30]"
27,Push,82,"[82, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 41, 28, 93, 30]"
28,Push,44,"[44, 82, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 41, 28, 93, 30]"
29,Visit,44,"[82, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 41, 28, 44, 93, 30]"
30,Push,48,"[48, 82, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 41, 28, 44, 93, 30]"
31,Push,11,"[11, 48, 82, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 41, 28, 44, 93, 30]"
32,Visit,11,"[48, 82, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[6, 55, 72, 25, 41, 11, 28, 44, 93, 30]"
33,Visit,48,"[82, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[48, 6, 55, 72, 25, 41, 11, 28, 44, 93, 30]"
34,Visit,82,"[96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[48, 82, 6, 55, 72, 25, 41, 11, 28, 44, 93, 30]"
35,Push,88,"[88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[48, 82, 6, 55, 72, 25, 41, 11, 28, 44, 93, 30]"
36,Push,66,"[66, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[48, 82, 6, 55, 72, 25, 41, 11, 28, 44, 93, 30]"
37,Visit,66,"[88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[66, 6, 72, 41, 11, 44, 48, 82, 55, 25, 28, 93, 30]"
38,Push,18,"[18, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[66, 6, 72, 41, 11, 44, 48, 82, 55, 25, 28, 93, 30]"
39,Visit,18,"[88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[66, 6, 72, 41, 11, 44, 48, 82, 18, 55, 25, 28, 93, 30]"
40,Push,88,"[88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[66, 6, 72, 41, 11, 44, 48, 82, 18, 55, 25, 28, 93, 30]"
41,Push,75,"[75, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[66, 6, 72, 41, 11, 44, 48, 82, 18, 55, 25, 28, 93, 30]"
42,Visit,75,"[88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 25, 28, 93, 30]"
43,Push,23,"[23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 25, 28, 93, 30]"
44,Push,65,"[65, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 25, 28, 93, 30]"
45,Visit,65,"[23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 25, 28, 93, 30]"
46,Push,92,"[92, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 25, 28, 93, 30]"
47,Visit,92,"[23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 25, 28, 92, 93, 30]"
48,Push,98,"[98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 25, 28, 92, 93, 30]"
49,Push,13,"[13, 98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 25, 28, 92, 93, 30]"
50,Push,88,"[88, 13, 98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 25, 28, 92, 93, 30]"
51,Visit,88,"[13, 98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 88, 25, 28, 92, 93, 30]"
52,Push,98,"[98, 13, 98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 88, 25, 28, 92, 93, 30]"
53,Push,97,"[97, 98, 13, 98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 88, 25, 28, 92, 93, 30]"
54,Push,35,"[35, 97, 98, 13, 98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 88, 25, 28, 92, 93, 30]"
55,Push,32,"[32, 35, 97, 98, 13, 98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 88, 25, 28, 92, 93, 30]"
56,Visit,32,"[35, 97, 98, 13, 98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[32, 65, 66, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 88, 25, 28, 92, 93, 30]"
57,Visit,35,"[97, 98, 13, 98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[32, 65, 66, 35, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 88, 25, 28, 92, 93, 30]"
58,Visit,97,"[98, 13, 98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[32, 65, 97, 66, 35, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 88, 25, 28, 92, 93, 30]"
59,Visit,98,"[13, 98, 23, 88, 88, 96, 45, 58, 77, 85, 12, 10, 46, 90, 68, 99]","[32, 65, 97, 66, 98, 35, 6, 72, 41, 11, 75, 44, 48, 82, 18, 55, 88, 25, 28, 92, 93, 30]"
