Step,Action,Node,StackState,VisitedSet
0,PushStart,27,[27],[]
1,Visit,27,[],[27]
2,Push,79,[79],[27]
3,Push,74,"[74, 79]",[27]
4,Push,65,"[65, 74, 79]",[27]
5,Push,99,"[99, 65, 74, 79]",[27]
6,Push,91,"[91, 99, 65, 74, 79]",[27]
7,Push,78,"[78, 91, 99, 65, 74, 79]",[27]
8,Push,31,"[31, 78, 91, 99, 65, 74, 79]",[27]
9,Push,29,"[29, 31, 78, 91, 99, 65, 74, 79]",[27]
10,Push,17,"[17, 29, 31, 78, 91, 99, 65, 74, 79]",[27]
11,Push,6,"[6, 17, 29, 31, 78, 91, 99, 65, 74, 79]",[27]
12,Push,3,"[3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]",[27]
13,Push,2,"[2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]",[27]
14,Push,19,"[19, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]",[27]
15,Visit,19,"[2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
16,Push,88,"[88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
17,Push,46,"[46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
18,Push,33,"[33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
19,Push,30,"[30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
20,Push,21,"[21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
21,Push,96,"[96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
22,Push,90,"[90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
23,Push,84,"[84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
24,Push,52,"[52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
25,Push,44,"[44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
26,Push,34,"[34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
27,Push,23,"[23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
28,Push,14,"[14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
29,Push,9,"[9, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 27]"
30,Visit,9,"[14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 9, 27]"
31,Push,77,"[77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 9, 27]"
32,Push,76,"[76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 9, 27]"
33,Push,74,"[74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 9, 27]"
34,Push,69,"[69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 9, 27]"
35,Push,60,"[60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 9, 27]"
36,Push,7,"[7, 60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 9, 27]"
37,Visit,7,"[60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 7, 9, 27]"
38,Push,97,"[97, 60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 7, 9, 27]"
39,Push,94,"[94, 97, 60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 7, 9, 27]"
40,Push,75,"[75, 94, 97, 60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 7, 9, 27]"
41,Push,26,"[26, 75, 94, 97, 60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 7, 9, 27]"
42,Push,79,"[79, 26, 75, 94, 97, 60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 7, 9, 27]"
43,Push,72,"[72, 79, 26, 75, 94, 97, 60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 7, 9, 27]"
44,Push,29,"[29, 72, 79, 26, 75, 94, 97, 60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 7, 9, 27]"
45,Push,13,"[13, 29, 72, 79, 26, 75, 94, 97, 60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 7, 9, 27]"
46,Visit,13,"[29, 72, 79, 26, 75, 94, 97, 60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 7, 9, 27, 13]"
47,Push,97,"[97, 29, 72, 79, 26, 75, 94, 97, 60, 69, 74, 76, 77, 14, 23, 34, 44, 52, 84, 90, 96, 21, 30, 33, 46, 88, 2, 3, 6, 17, 29, 31, 78, 91, 99, 65, 74, 79]","[19, 7, 9, 27, 13]"
