Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,25,0,1
2,ColorAssign,0,72,0,1
3,ColorAssign,0,73,0,1
4,ColorAssign,0,84,0,1
5,ColorAssign,0,93,0,1
6,ColorAssign,0,98,0,1
7,ColorAssign,0,99,0,1
8,ColorAssign,0,12,0,1
9,ColorAssign,0,22,0,1
10,ColorAssign,0,32,0,1
11,ColorAssign,0,36,0,1
12,ColorAssign,0,38,0,1
13,ColorAssign,0,40,0,1
14,ColorAssign,0,56,0,1
15,ColorAssign,0,83,0,1
16,ColorAssign,0,94,0,1
17,ColorAssign,25,4,1,0
18,ColorAssign,25,23,1,0
19,ColorAssign,25,6,1,0
20,ColorAssign,25,46,1,0
21,ColorAssign,25,52,1,0
22,ColorAssign,25,77,1,0
23,ColorAssign,25,87,1,0
24,Conflict,25,36,1,1
