Step,Action,Node,StackState,VisitedSet
0,PushStart,12,[12],[]
1,Visit,12,[],[12]
2,Push,96,[96],[12]
3,Push,94,"[94, 96]",[12]
4,Push,88,"[88, 94, 96]",[12]
5,Push,74,"[74, 88, 94, 96]",[12]
6,Push,35,"[35, 74, 88, 94, 96]",[12]
7,Push,13,"[13, 35, 74, 88, 94, 96]",[12]
8,Push,81,"[81, 13, 35, 74, 88, 94, 96]",[12]
9,Push,79,"[79, 81, 13, 35, 74, 88, 94, 96]",[12]
10,Push,78,"[78, 79, 81, 13, 35, 74, 88, 94, 96]",[12]
11,Push,47,"[47, 78, 79, 81, 13, 35, 74, 88, 94, 96]",[12]
12,Push,14,"[14, 47, 78, 79, 81, 13, 35, 74, 88, 94, 96]",[12]
13,Push,11,"[11, 14, 47, 78, 79, 81, 13, 35, 74, 88, 94, 96]",[12]
14,Push,0,"[0, 11, 14, 47, 78, 79, 81, 13, 35, 74, 88, 94, 96]",[12]
15,Visit,0,"[11, 14, 47, 78, 79, 81, 13, 35, 74, 88, 94, 96]","[0, 12]"
16,Push,94,"[94, 11, 14, 47, 78, 79, 81, 13, 35, 74, 88, 94, 96]","[0, 12]"
17,Push,83,"[83, 94, 11, 14, 47, 78, 79, 81, 13, 35, 74, 88, 94, 96]","[0, 12]"
18,Push,40,"[40, 83, 94, 11, 14, 47, 78, 79, 81, 13, 35, 74, 88, 94, 96]","[0, 12]"
19,Push,38,"[38, 40, 83, 94, 11, 14, 47, 78, 79, 81, 13, 35, 74, 88, 94, 96]","[0, 12]"
20,Push,32,"[32, 38, 40, 83, 94, 11, 14, 47, 78, 79, 81, 13, 35, 74, 88, 94, 96]","[0, 12]"
21,Push,99,"[99, 32, 38, 40, 83, 94, 11, 14, 47, 78, 79, 81, 13, 35, 74, 88, 94, 96]","[0, 12]"
22,Push,73,"[73, 99, 32, 38, 40, 83, 94, 11, 14, 47, 78, 79, 81, 13, 35, 74, 88, 94, 96]","[0, 12]"
