Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,25,0,1
2,ColorAssign,0,72,0,1
3,ColorAssign,0,73,0,1
4,ColorAssign,0,99,0,1
5,ColorAssign,0,12,0,1
6,ColorAssign,0,32,0,1
7,ColorAssign,0,38,0,1
8,ColorAssign,0,40,0,1
9,ColorAssign,0,83,0,1
10,ColorAssign,0,94,0,1
11,ColorAssign,25,4,1,0
12,ColorAssign,25,6,1,0
13,ColorAssign,25,52,1,0
14,ColorAssign,25,77,1,0
15,ColorAssign,25,51,1,0
16,ColorAssign,25,54,1,0
17,ColorAssign,25,86,1,0
18,ColorAssign,72,7,1,0
19,ColorAssign,72,70,1,0
20,ColorAssign,72,43,1,0
21,ColorAssign,72,49,1,0
22,ColorAssign,72,53,1,0
23,ColorAssign,72,58,1,0
24,ColorAssign,72,96,1,0
25,ColorAssign,72,97,1,0
26,ColorAssign,73,46,1,0
27,ColorAssign,73,68,1,0
28,ColorAssign,73,28,1,0
29,ColorAssign,73,62,1,0
30,Conflict,73,99,1,1
