Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,25,0,1
2,ColorAssign,0,72,0,1
3,ColorAssign,0,73,0,1
4,ColorAssign,0,84,0,1
5,ColorAssign,0,93,0,1
6,ColorAssign,0,98,0,1
7,ColorAssign,0,99,0,1
8,ColorAssign,0,105,0,1
9,ColorAssign,0,155,0,1
10,ColorAssign,0,164,0,1
11,ColorAssign,0,191,0,1
12,ColorAssign,0,200,0,1
13,ColorAssign,0,215,0,1
14,ColorAssign,0,252,0,1
15,ColorAssign,0,277,0,1
16,ColorAssign,0,279,0,1
17,ColorAssign,0,285,0,1
18,ColorAssign,0,291,0,1
19,ColorAssign,0,295,0,1
20,ColorAssign,0,299,0,1
21,ColorAssign,0,307,0,1
22,ColorAssign,0,321,0,1
23,ColorAssign,0,325,0,1
24,ColorAssign,0,363,0,1
25,ColorAssign,0,375,0,1
26,ColorAssign,0,382,0,1
27,ColorAssign,0,383,0,1
28,ColorAssign,0,387,0,1
29,ColorAssign,0,393,0,1
30,ColorAssign,0,414,0,1
31,ColorAssign,0,419,0,1
32,ColorAssign,0,421,0,1
33,ColorAssign,0,428,0,1
34,ColorAssign,0,483,0,1
35,ColorAssign,0,485,0,1
36,ColorAssign,0,11,0,1
37,ColorAssign,0,22,0,1
38,ColorAssign,0,26,0,1
39,ColorAssign,0,33,0,1
40,ColorAssign,0,34,0,1
41,ColorAssign,0,38,0,1
42,ColorAssign,0,54,0,1
43,ColorAssign,0,57,0,1
44,ColorAssign,0,58,0,1
45,ColorAssign,0,82,0,1
46,ColorAssign,0,85,0,1
47,ColorAssign,0,89,0,1
48,ColorAssign,0,110,0,1
49,ColorAssign,0,118,0,1
50,ColorAssign,0,132,0,1
51,ColorAssign,0,140,0,1
52,ColorAssign,0,141,0,1
53,ColorAssign,0,151,0,1
54,ColorAssign,0,167,0,1
55,ColorAssign,0,178,0,1
56,ColorAssign,0,190,0,1
57,ColorAssign,0,202,0,1
58,ColorAssign,0,203,0,1
59,ColorAssign,0,207,0,1
60,ColorAssign,0,208,0,1
61,ColorAssign,0,227,0,1
62,ColorAssign,0,229,0,1
63,ColorAssign,0,237,0,1
64,ColorAssign,0,268,0,1
65,ColorAssign,0,271,0,1
66,ColorAssign,0,294,0,1
67,ColorAssign,0,305,0,1
68,ColorAssign,0,310,0,1
69,ColorAssign,0,320,0,1
70,ColorAssign,0,341,0,1
71,ColorAssign,0,342,0,1
72,ColorAssign,0,352,0,1
73,ColorAssign,0,362,0,1
74,ColorAssign,0,372,0,1
75,ColorAssign,0,374,0,1
76,ColorAssign,0,380,0,1
77,ColorAssign,0,381,0,1
78,ColorAssign,0,391,0,1
79,ColorAssign,0,400,0,1
80,ColorAssign,0,405,0,1
81,ColorAssign,0,406,0,1
82,ColorAssign,0,416,0,1
83,ColorAssign,0,422,0,1
84,ColorAssign,0,447,0,1
85,ColorAssign,0,451,0,1
86,ColorAssign,0,477,0,1
87,ColorAssign,0,495,0,1
88,ColorAssign,25,9,1,0
89,ColorAssign,25,10,1,0
90,ColorAssign,25,7,1,0
91,ColorAssign,25,8,1,0
92,ColorAssign,25,12,1,0
93,ColorAssign,25,15,1,0
94,Conflict,25,26,1,1
